,image_filename,line_text,type
34820,hdd_train_00000.png,ን፡አስቦ፡እኔምጂ፡እሞታለሁ፡፥,hdd
34821,hdd_train_00001.png,እግዚእነ፡ኢየሱስ፡,hdd
34822,hdd_train_00002.png,ኢይፈርህ፡እምአእላፍ፡አሕዛብ,hdd
34823,hdd_train_00003.png,ው፡ነገር፡ያልሰሙ፡ከዕ,hdd
34824,hdd_train_00004.png,ዕዋፈ፡አጸ,hdd
34825,hdd_train_00005.png,ሃ፡ወእግዚእነ፡እም፡ወትደግም፡ዘየ,hdd
34826,hdd_train_00006.png,ቢ፡ዘከመ፡ይገብር,hdd
34827,hdd_train_00007.png,ዎስ፡፶፭ወቦአ፡እንተ፡ጸባ,hdd
34828,hdd_train_00008.png,ረ፡ውእቱ፡ቀሲስ፡ከመይ,hdd
34829,hdd_train_00009.png,ኅበ፡ወልደ፡እግዚእን፡ብእሴት፡ሠናይት,hdd
34831,hdd_train_00011.png,ኣካ።ወተንሥአ፡,hdd
34832,hdd_train_00012.png,አወለተየ፡አሌሊተ፡በ,hdd
34833,hdd_train_00013.png,ድ፡ንጋፄ፡ቅድመ፡አሕዛብ፡ወ,hdd
34834,hdd_train_00014.png,በ፡ማይ፡ዘቀተለቶ፡በ,hdd
34835,hdd_train_00015.png,ተፈደዩ፡ዕደከዑ፡ተለክዩ፡,hdd
34836,hdd_train_00016.png,፡ወፈውሰኒ፡እሰመ፡ተሐውካ፡አዕፅምትየ,hdd
34837,hdd_train_00017.png,ይሔውፃ፡እንዘ፡ጽ,hdd
34838,hdd_train_00018.png,የምድንግል፡ወላዲተ፡ ፼፡ተፈሥሒ፡አከብከን፡ንጹሕ፡,hdd
34839,hdd_train_00019.png,አዘዞሙ፡ወዘበጥዎ፡ዝ,hdd
34840,hdd_train_00020.png,መ፡ዖፍ፡ወቦአ፡ውስ,hdd
34841,hdd_train_00021.png,በበግፅ፡ዘዑጽፍተ፡,hdd
34842,hdd_train_00022.png,ወልደ፡እንስአ,hdd
34843,hdd_train_00023.png,ር፡ቀንዓ፡ልዕሌሁ፡ወ,hdd
34844,hdd_train_00024.png,ዲህ፡በአስተ,hdd
34845,hdd_train_00025.png,ካኤል፡ለዓለመ,hdd
34846,hdd_train_00026.png,ምሯቸው፡እንዲህ፡ስለሆ,hdd
34847,hdd_train_00027.png,ደሞሙ፡በእንተ፡እግዚአብሔ,hdd
34848,hdd_train_00028.png,ማነ፡ንሕነ፡ኃጥአን፡ዘንፈቱ፡ዓለመ፡ወ,hdd
34849,hdd_train_00029.png,አምላከነሰ፡ውስተ፡ሰማይ፡ለዕለ፡በሰማይኒ፡ወበምድርኒ።,hdd
34850,hdd_train_00030.png,ተወንጌለ፡ሉቃስ፡፻፴,hdd
34851,hdd_train_00031.png,ሊከ፡ትቤ፡ከመ,hdd
34852,hdd_train_00032.png,ወለትውልደ፡ትውልድ፡ጽድቅከ።,hdd
34854,hdd_train_00034.png,በይእተ፡ዕለት፡ኪጽበ,hdd
34855,hdd_train_00035.png,እቱ፡ደብር፡ወከርዩ፡እ,hdd
34856,hdd_train_00036.png,ወጸሡዕዎ፡ደግመ፡ነ,hdd
34857,hdd_train_00037.png,ህየ፡ይብሉ፡ኤልያስሃ፡ይጺ,hdd
34860,hdd_train_00040.png,በቅድመ፡ኩሉ፡ሕዝ,hdd
34861,hdd_train_00041.png,ኅ፡ይ፡መድኃኒተ፡ረኪቦሙ፡,hdd
34862,hdd_train_00042.png,፼፡ወእምነኪር፡መሐኮ፡ለገብርከ,hdd
34863,hdd_train_00043.png,መ፡ደንገፀ፡ከመ፡ይ፡ክ፡አመ፡፲ወ፻ለለወ,hdd
34864,hdd_train_00044.png,ውስተ፡ቤተ,hdd
34865,hdd_train_00045.png,ኅዙናን፡ወትኩዛነን፡ና፡ከ,hdd
34866,hdd_train_00046.png,ወስብሐት፡ስአ,hdd
34867,hdd_train_00047.png,ህላዊ፡ዘእንበለ፡ብክይ,hdd
34868,hdd_train_00048.png,ቱ።ሐዋርያ፡ጴጥሮስ፡ቀዳ,hdd
34869,hdd_train_00049.png,ሙ፡በ፸ወ፷ነፍሰተ፡ው፡ ፡ ንሣአኒ፡በ,hdd
34870,hdd_train_00050.png,ድውይ፡ቢጠይቅ፡ይህ፡ከ,hdd
34871,hdd_train_00051.png,እ፡ገቢ፡አቤ፡ኦብእኪ,hdd
34872,hdd_train_00052.png,ግዚአብሔር፡አድኅኖቶ፡,hdd
34873,hdd_train_00053.png,ነ፡በሰሙ፡ቅዱስ።ወ,hdd
34874,hdd_train_00054.png,ም፡ለዝ,hdd
34875,hdd_train_00055.png,ማቲዎስ፡፻፴፮ወመሰሉ፡ሎሙ፡,hdd
34876,hdd_train_00056.png,ሁ።ወስአሎ፡ፊልጰስለ,hdd
34877,hdd_train_00057.png,ደምፁ፡ወተሐምጉ፡ማያቲሆሙ,hdd
34878,hdd_train_00058.png,ከ፡እነ።ወይቤለ፡ አንሰ፡ ፡ ሎ፡ኢተአምርኑ፡እንዘ፡,hdd
34879,hdd_train_00059.png,ወይቤሎሙ፡ብከ,hdd
34880,hdd_train_00060.png,ብረ፡ኦአኃውየ፡ንዑ፡ንትጋበእ፡,hdd
34881,hdd_train_00061.png,ስሊክ፡ዘፈቀደ፡ያ,hdd
34882,hdd_train_00062.png,ቱ፡ጴጥሮስ፡ቀዳማይ፡፶ወ፪፡,hdd
34883,hdd_train_00063.png,፼ወዘርእየኒ፡ሎቱ፡ይትቀነይ,hdd
34884,hdd_train_00064.png,ጽብዖሙ፡እግዚአ፡ለእለ፡ይጸብዑኒ,hdd
34885,hdd_train_00065.png,ወጽእ።ወይዜንዉ፡ጽድቀ፡ዚአሁ,hdd
34886,hdd_train_00066.png,ወለእስራኤልኒ፡ከዳኖ፡ዘለዓለም።,hdd
34887,hdd_train_00067.png,እስከ፡አኀልፍ፡እነ፡ባሕተ,hdd
34888,hdd_train_00068.png,ማርቆስ፡፻፲፯ወአልጺቆ፡,hdd
34889,hdd_train_00069.png,ዓቢየ።ዘነግህ፡ዳዊት፡፹፭እ,hdd
34891,hdd_train_00071.png,ዐፀብእ,hdd
34892,hdd_train_00072.png,ሰይያስ፡ይኩን፡በከመ፡ት,hdd
34893,hdd_train_00073.png,ነት፡በሃይማኖቷ፡በም፡ግ,hdd
34894,hdd_train_00074.png,ከ፡እክለኪ፡ወስርናይኪ፡,hdd
34895,hdd_train_00075.png,ዑ፡መጻአኩ፡ወእልቦ፡ስብ,hdd
34896,hdd_train_00076.png,ንግል፡በ፪,hdd
34897,hdd_train_00077.png,እምድኅንኩ፡እበተ።,hdd
34898,hdd_train_00078.png,ዕለ፡ለእግ፡ዝእትነ፡ቅ,hdd
34899,hdd_train_00079.png,ወተጋብኡ፡ኅቤሁ፡ትብል፡ወምንተ፡ት,hdd
34900,hdd_train_00080.png,ለይደቁ፡ውበተ፡መሥገቶሙ፡ለኃጥአን,hdd
34901,hdd_train_00081.png,በዳግማይ፡ቀዳሚት፡,hdd
34902,hdd_train_00082.png,ወተለዓል፡መልዕልቶሙ፡ለጸላዕትየ,hdd
34903,hdd_train_00083.png,ሿሿምድርብምልዓ,hdd
34904,hdd_train_00084.png,በእለ፡ይትላአክዋ፡ወያ,hdd
34905,hdd_train_00085.png,ሰንበት፡ዘመ፡ዳዊት፡፹፫,hdd
34906,hdd_train_00086.png,ሎሙ፡ሊቃነ፡መላእ,hdd
34907,hdd_train_00087.png,ወምሲ,hdd
34908,hdd_train_00088.png,፡ወረከቡ፡ቢጾሙ፡ዳዊ,hdd
34909,hdd_train_00089.png,አንብዓ፡ኤርምያስ፡ቅዱስ,hdd
34910,hdd_train_00090.png,ተወልደ፡ይእዚስ,hdd
34911,hdd_train_00091.png,ይትባረክ፡እግዚአብሔር፡አምላከ፡እስራኤል,hdd
34912,hdd_train_00092.png,ሞት፡ነፍሱ፡ወተኃለቁ,hdd
34913,hdd_train_00093.png,እሙ፡ከመ፡ትዕቀቦ,hdd
34914,hdd_train_00094.png,ኀ፡እምኩሎሙ፡ቅዱ፡ፈስ፡ቅዱስ፡በከመ,hdd
34915,hdd_train_00095.png,እ፡ነዓ፡ወትርአ,hdd
34916,hdd_train_00096.png,እምነ፡አድባራት፡ነበረ፡ህሉ፡ምስቤነ፡አሜን።ተ,hdd
34917,hdd_train_00097.png,ስትዩን፡ለእድሳኖ፡ሥሉ,hdd
34918,hdd_train_00098.png,ያውአኪ፡እስተ,hdd
34919,hdd_train_00099.png,ስቲያነ፡በስመ,hdd
34920,hdd_train_00100.png,ልዓየ፡ያዕቆብ፡ወኦጽሐብኩ,hdd
34921,hdd_train_00101.png,ት፡ውስተ፡መከን፡ቅዱ፡ ፡ ስተርአየቶ፡ረከበ፡ትእ,hdd
34922,hdd_train_00102.png,ወተስ፡ ሐ፡ኀቤሁ፡ነበበ፡ቃሲ,hdd
34923,hdd_train_00103.png,ወእሙንቱሂ፡አተው።ዳዊ,hdd
34924,hdd_train_00104.png,ስ፡ወት,hdd
34925,hdd_train_00105.png,ጽልመተ፡ምሥዋ,hdd
34926,hdd_train_00106.png,የጥ፡ውስተ፡ግብረ፡ፌሣሕ፡ወየአኩቶ,hdd
34927,hdd_train_00107.png,ኅበ፡አቡከ፡,hdd
34928,hdd_train_00108.png,በሰላም፡ወበደህና,hdd
34929,hdd_train_00109.png,ሮሚ፡፶፭፡ወማኅለ,hdd
34930,hdd_train_00110.png,ለአእምሮ፡,hdd
34931,hdd_train_00111.png,ኪ።ወዘንተ፡ብሂለ፡በ,hdd
34932,hdd_train_00112.png,ን፡ጲጥሮስ፡ቀዳማይ፡፶፸,hdd
34933,hdd_train_00113.png,ባውም፡ታሞ፡የሚታገ,hdd
34934,hdd_train_00114.png,ርሑስ፡አበላ።አማን፡,hdd
34935,hdd_train_00115.png,ወንቅነኒ፡ነገድነ፡እም፡,hdd
34936,hdd_train_00116.png,እስተራኒቆስ፡ምታ,hdd
34937,hdd_train_00117.png,ወአንትሙሰ፡ዑቁ፡እርእ,hdd
34938,hdd_train_00118.png,ምድኀረ፡ወለድኪ፡ኬያሁ፡ነ።,hdd
34939,hdd_train_00119.png,ር፡ቢሆን፡ከንፈሩን፡ገለጥ፡ያ,hdd
34940,hdd_train_00120.png,ስ፡በኢጲስ፡ዮጶስ፡ወም,hdd
34941,hdd_train_00121.png,ታ፡ያህሉምሰሌ፡አሜን።፡ዝንቱ፡ስብሐት፡በሌሊት,hdd
34942,hdd_train_00122.png,ውሩ፡በአንቲ፡ቡሩክ፡ዘይ፡መጽ,hdd
34943,hdd_train_00123.png,ድመ፡ሰዱስ፡መዋዕል፡ዘፋሲ,hdd
34944,hdd_train_00124.png,ሥአ፡እግዚ,hdd
34945,hdd_train_00125.png,ሳቅ፡እግዚነ፡,hdd
34946,hdd_train_00126.png,ከመ፡ትፈቅዱ።ወእሞዝ,hdd
34947,hdd_train_00127.png,ንተ፡እግዚአብሔር፡ወኢያእ,hdd
34948,hdd_train_00128.png,ማሪይም፡ወ,hdd
34949,hdd_train_00129.png,ቅዱስ፡መዋዕል,hdd
34950,hdd_train_00130.png,እስከ፡አመ፡ሞቱ፡ወቦአ፡,hdd
34951,hdd_train_00131.png,ኃያል፡ወመሥተዓግሥቀወኢያመጽእ፡መንሱ,hdd
34952,hdd_train_00132.png,የነ፡ተላለቂን፡ጥቃቅ,hdd
34953,hdd_train_00133.png,ተ፡አምላክ፡እ,hdd
34954,hdd_train_00134.png,ረ፡ዘቀዳሚ፡መ,hdd
34955,hdd_train_00135.png,ዕርተ፡ርእሱ፡ሊቀ፡መ,hdd
34956,hdd_train_00136.png,ፊነዋ፡ለሊተ፡መላ፡እስመ፡ይቤሐዋርያ,hdd
34957,hdd_train_00137.png,ትከ፡እስመ፡አ,hdd
34958,hdd_train_00138.png,ማዕሰር፡ለ,hdd
34959,hdd_train_00139.png,፡መ፡አሜሃስ፡ነበሩ፡ዘእንበለ፡,hdd
34960,hdd_train_00140.png,ዊበግሁ፡ለ,hdd
34961,hdd_train_00141.png,እመትራ፡ወነስአየ፡መ,hdd
34962,hdd_train_00142.png,ንትብየ፡ምስሊኪ፡አብ፡ሀብዎ፡ለሊቀምርፋቅ,hdd
34963,hdd_train_00143.png,ዳሚ፡ባዕል፡ጥቅ፡ኮ,hdd
34964,hdd_train_00144.png,በውእቱ፡ፈያታዊ፡አንከ,hdd
34965,hdd_train_00145.png,ትነ፡ቅድስት፡ድንግል,hdd
34966,hdd_train_00146.png,ሊሁ፡ወይቤሎሙ፡ሰይጣን፡ውእቱ፡ወዘ፡ከ,hdd
34967,hdd_train_00147.png,ድስተ፡ቅዱሳን,hdd
34968,hdd_train_00148.png,ዋስቦትከ፡ዘእንበለ፡ሕግ፡እን,hdd
34969,hdd_train_00149.png,ዎ፡ወየጠፍኦሙ፡ለዓላውያን፡ና,hdd
34970,hdd_train_00150.png,እትነ፡ቅድስት፡ድንግል፡,hdd
34971,hdd_train_00151.png,ዓለም፡ዘዘአሁ,hdd
34972,hdd_train_00152.png,ም፡ማሪሃም,hdd
34973,hdd_train_00153.png,ጸራኅኩ,hdd
34974,hdd_train_00154.png,እሙንቴስ፡እምከንቱ፡ውስተ,hdd
34975,hdd_train_00155.png,ውእቱ፡ኢየ,hdd
34976,hdd_train_00156.png,ማርያም፡ድንግ,hdd
34977,hdd_train_00157.png,ከመ፡ይስረያ፡እገሪከ፡በደም,hdd
34978,hdd_train_00158.png,ስነ፡ከመ፡ይኩኑተ,hdd
34979,hdd_train_00159.png,የ።ወይቤለ፡ውእቱ፡ወ,hdd
34980,hdd_train_00160.png,ከ፡ይድለቀልቃ፡ጊቱ፡ስማ,hdd
