,image_filename,line_text,type
114612,synth_image_0_0.png,ሁከትና ብጥብጥ የሚያነሳሳ ቅስቀሳ እና ግንኙነት መፍጠር::,synthetic
114613,synth_image_1_0.png,ይላል ከዚህ አንቀፅ በግልፅ እንደምንረዳው በህቡዕም ሆነ በግልፅ መደራጀት መብት ነው መደራጀት የሚከለከለው ህግ በመጣስ ወይም ህገመንግስታዊ ስርአቱን በህገወጥ መንገድ,synthetic
114614,synth_image_1_1.png,ለማፍረስ ከሆነ ብቻ ነው::,synthetic
114615,synth_image_3_0.png,ሉቃስ ደቀ መዛሙርቱም ተመልሰው ያገኙትን ውጤት ሲነግሩት አመስግኗቸዋል ብሎም አበረታቷቸዋል::,synthetic
114616,synth_image_4_0.png,እምነትን በስራ መግለጥ ስራ ብቻውን ያድናል አይባልም::,synthetic
114617,synth_image_6_0.png,ለማንኛውም የዓለም የምግብ ድርጅት ላይ አንዴ ሳይሆን ሶስት ጊዜ የዓለም ርዕሳነ ብሄር ተሰብስበው የመጨረሻው ጊዜ ምን ማለት እንደሆነ ማብራራታቸውና ዓለም,synthetic
114618,synth_image_6_1.png,አቀፍ መግባባት የተገኘበት ስምምነት መኖሩን ኢትዮጵያም ፈራሚ መሆኗ ይታወሳል::,synthetic
114619,synth_image_7_0.png,ግለሰቡ ከሶስት ዓመታት በፊት ፓኪስታን ዉስጥ ታስሮ እንደነበር እና አሁን በህገወጥ መንገድ ወደኬንያ ሳይገባ እንዳልቀረ ፖሊስ አመልክቷል ጉዳዩን በቅርብ የሚከታተሉ,synthetic
114620,synth_image_7_1.png,የፖለቲካ ተንታኞች የተለያየ አገር ዜጎች ሶማሊያ ዉስጥ ከአሸባብ ጎን ሳይሰለፉ እንዳልቀሩ ያመለክታሉ ኬንያ ዉስጥ በሚደርሱ ጥቃቶች መሳተፍ አለመሳተፋቸዉ ግን ግልፅ,synthetic
114621,synth_image_7_2.png,አይደለም::,synthetic
114622,synth_image_8_0.png,የኢትዮጵያ እግር ኳስ ፌዴሬሽን አዲስ የተጫዋቾች ዝውውር መመሪያ ማውጣቱን ተከትሎ የዘንድሮው የተጫዋቾች ዝውውር ጉዳይ እያወዛገበ ይገኛልሐምሌ::,synthetic
114623,synth_image_9_0.png,መንግሥት ለዚች አገር መሠረታዊ ችግሮች አፋጣኝ መፍትሔ ለመስጠት የፖለቲከኞች መፈታት ብቻውን የሚፈይደው ነገር እንደሌለ ሪፖርተር ያነጋገራቸው የፖለቲካ ተንታኞች ይመለክታሉ መንግሥት,synthetic
114624,synth_image_9_1.png,ላይ ተቃውሞውን ያሰማው ሕዝብ የጠየቀውም እነዚህ ያለ አግባብ የታሰሩ ሰዎች ይፈቱ የሚለውን ጥያቄ ብቻ እንዳልሆነም አስታውሰዋል::,synthetic
114625,synth_image_10_0.png,የአሜሪካ ፕሬዚዳንት ዶናልድ ትራምፕ በድርድሩ ወቅት ምንም ተሳትፎ አልነበራቸውም::,synthetic
114626,synth_image_11_0.png,ኦሮሞና አማራ ሕዝብ መሃል የበቀለውን ሕዋሃት የሚባልን እሾክ በህብረት መንጥረን መድማታችንንን ማቆም አማራጭ አልባ መሆኑን አውቀናል::,synthetic
114627,synth_image_12_0.png,መጽሐፍ ቅዱስ ይሖዋ የሚለውን የአምላክ የግል ስም በሺህ ለሚቆጠሩ ጊዜያት እንደሚጠቅስ ልብ በል::,synthetic
114628,synth_image_13_0.png,አሁን ግን እናንተ በፊት ርቃችሁ የነበራችሁ በኃጢአት ምክንያት በበደል ምክንያት በክርስቶስ ደም ቀርባችኋል::,synthetic
114629,synth_image_14_0.png,አቡጊዳ ሰኔ ቅዳሜ ቀን በመቀሌ ከተማ የተቃዉሞ ሰላማዊ ሰልፍ እንደተጠራ የአረና አመራር አባል አቶ አብርሃ ደስታ ገለጹ ሰልፉ በከተማዋ አስተዳደር,synthetic
