image_filename,line_text,type,writer
hdd_rand_test_rand_05321.png,ቂቁ፡ያሥግሩ፡ዓ                                      ,hdd_rand,
hand_557_line_7.png,በማደራጀት  ወደ ኢማሙ  ሰራዊት  ዘመተ።  ጥቅምት  ፬ ( አራት  ),handwritten,281
synth_image_33829_0.png,አዘጋጇ ሩሲያ ወርቅ ብርና ነሐስ በመሰብሰብ ያዘጋጀችውን ሻምፒዮና በቀዳሚነት ስታጠናቅቅ አሜሪካ በ ወርቅ ብርና ነሐስ ሁለተኛ እንዲሁም ጃማይካ ወርቅ ብርና,synthetic,
hdd_rand_test_rand_01661.png,ናሁ፡እግዛአኩ፡በኪነ                                   ,hdd_rand,
hdd_rand_test_rand_05089.png,ተምር፡ተብሏል፡ወኵሉ                                   ,hdd_rand,
hdd_18_test_18th_00743.png,እሰመ፡ተሣየጠከሙ፡በሢጥ፡ሰብ                              ,hdd_18,
hdd_rand_test_rand_02883.png,ት፡ወኅበ፡አውጽኡ፡ማዮማ                                 ,hdd_rand,
typed_3152_line_5.png,"ኤሊያህባ  ፣ የያሼን  ልጆች  ፣ ዮናታን  ፣ 33 ሃራራዊው  ሻማህ  ፣ የሃራራዊው  የሻራር  ልጅ አሂዓም  ፣ 34 የማአካታዊው  ልጅ ፣ የአሃስባይ  ልጅ ኤሊፌሌት  ፣ 
",typed,
hdd_rand_test_rand_02401.png,ወዘንተ፡ብሂሎ፡ወደየ፡እዴሁ፡ይቤ፡ዲያብሎስ፡ሶበ፡ገሠሥ               ,hdd_rand,
hdd_rand_test_rand_03932.png,እጓለ፡እመሕያው፡ቶሙ፡ለመሐይ                              ,hdd_rand,
synth_image_35381_1.png,ሌሎችም አራት መነኮሳት ከእነርሱ ጋር አብረው ሸሹ እነዚህ ኤጲስ ቆጶሳት ተቀምጠው በኬልቄዶን ለራሳቸው መመሪያ የሚሆናቸውን መመሪያ ሰሩ ቅዱስ ድዮስቆሮስንም ወደዚች,synthetic,
hand_1009_line_3.png,"እስኪጨልም  እርስ  በርሱ  ሲጣፋ  ፤ ሲጯጯህ  ፤ ሠማዩን  ከድኖት  በብረቱ  ትንቅንቅ
",handwritten,164
hdd_18_test_18th_05950.png,ኄር፡እንተ፡እግዚኦ፡ወምሕረኒ፡ኲነኔከ።                        ,hdd_18,
hand_3537_line_10.png,"፲ ፰ ፻ ፶  አረፉ።  ከዘመነ  ሐዋርያት  ወዲህ  በበዓለ  ሠዊት  በዓለ  ጰራቅሊጦስ  ገብቶበታል።
",handwritten,182
